investigation_line_id,name,description
18,Neuropsicologia del Desarrollo y alteracion cerebral.,"A traves de esta area tematica, se busca promover la investigacion relacional entre psicologia y neurociencias, mediante el desarrollo de proyectos reflexivos y de investigacion orientados a la identificacion de nuevas perspectivas teoricas y practicas, en el analisis de alteraciones cognitivas y emocionales durante el ciclo de vida, asi como tambien, modelos neuropsicologicos de prevencion e intervencion clinica, especialmente a poblacion vulnerable o victima de conflictos sociales. Esta area tematica incluye subareas como, neuropsicologia infantil, neuropsicologia de la discapacidad y neuropsicologia geriatrica."
18,Desarrollo Humano,"Esta area tematica permite visualizar opciones que busquen el mejoramiento del bienestar integral de sujetos en situacion de vulnerabilidad desde diferentes opticas (salud, educacion, recreacion, solidaridad, confianza, tejido social), que contribuyen al desarrollo pleno de los ciudadanos, de acuerdo con sus capacidades y vocaciones. De esta forma, el desarrollo humano representa un proceso constante de crecimiento que busca la libertad y la formacion de las capacidades humanas, asi como la ampliacion de la gama de oportunidades que las personas puedan obtener."
18,Variables psicojuridicas de la violencia y la conducta delictiva.,"Esta area tematica contempla los factores psicologicos y juridicos que influyen en la manifestacion y el curso de comportamientos violentos o criminales. En el ambito psicologico, las variables pueden incluir factores como, la personalidad, la historia de trauma, la impulsividad y la salud mental. Por otro lado, las variables juridicas abordan cuestiones relacionadas con la legislacion, las normas sociales y la percepcion de justicia, que pueden afectar la propension de una persona a cometer actos delictivos. La interaccion compleja entre estas variables desempena un papel crucial en la comprension y la prevencion de la violencia y la conducta delictiva en la sociedad."
18,Representaciones Sociales,"A traves de esta area tematica se pretende entender como esa realidad de violencia tiene existencia propia, como surge una realidad colectiva que regula los juicios y las representaciones de los sujetos en sociedad frente a este fenomeno, en funcion de un contexto fisico y social concreto, que dan cuenta de la manera como diferentes grupos de la poblacion, van construyendo una representacion discursiva que evidencian la estructuracion, la identificacion y el ejercicio de la violencia."
19,Geotecnia,"Esta area se enfoca al analisis de vulnerabilidad y riesgos en aspectos asociados a los terrenos como lo son la expansion, deslizamientos, asentamientos y erosion."
19,Estructuras,"Implica el estudio de la vulnerabilidad sismica utilizando equipos de medicion y nuevos modelos estructurales. Ademas, contempla el desarrollo de estructuras sostenibles para contribuir al logro de los ODS."
19,Recurso Hidrico,"En esta area se estudia los eventos relacionados con inundaciones, incendios, avenidas torrenciales y otros fenomenos asociados con el recurso hidrico. Asi mismo, busca plantear estrategias en el marco de la sostenibilidad y economica circular para hacer frente a los fenomenos."
20,Comunicacion estrategica y cultura corporativa,"Dentro de la planeacion estrategica realizada en todas las organizaciones, la comunicacion es un factor determinante en la consecucion de las metas u objetivos propuestos al ser considerada como un instrumento de gestion, pero para ello se requiere que el comunicador social - organizacional este en capacidad de analizar las formas y los sistemas de comunicacion e informacion al interior y el exterior de las organizaciones, ya sean de caracter publico o privado, con el proposito de planear, disenar, ejecutar, controlar, evaluar y mejorar los procesos comunicativos que se dan al interior de las mismas."
20,Comunicacion y mediacion digital,"Desde el ambito comunicacional y las mediaciones digitales este escenario es el indicado para afrontar investigaciones propias y trabajo interdisciplinario ""desde las mas tempranas formas de gestualidad y uso del lenguaje hasta los avances mas recientes de la tecnologia informatica, la produccion, almacenamiento y circulacion de informacion"". Es la materia prima y esencia de la existencia moderna."
20,Narrativas mediaticas y movimientos sociales,"Las narrativas mediaticas actuan como forma de contar lo que sucede en el entorno de la sociedad humana, siendo consecuente con la historia transcultural. El ecosistema digital ha permitido girar la mirada a un escenario nuevo ofreciendo mas posibilidades de comunicacion. Los movimeientos sociales son un ejemplo de esta realidad hoy, y la sociedad red su agora."
20,"Contextos culturales, diversidad y ciudadania","La exigencia de reconocimiento de los contextos culturales y la diversidad cultural de grupos indigenas, etnicos o culturales hacia los medios de comunicacion. Un tema silenciado hace unas decadas, bajo un mestizaje uniformador en Iberoamerica, que en el contexto de las ciudadanias se ha convertido en centro de la discusion social, politica, educativa y global, afectando a las metas, sentido y practicas docentes de la educacion publica y privada."
21,Estrategia y Prospectiva en los negocios Internacionales,"El area de Estrategia y Prospectiva en los Negocios, es necesaria porque brinda las herramientas, instrumentos y acciones a los Negociadores internacionales para atender las tendencias, factores y situaciones que facilitan la toma de decisiones, anticiparse a las amenazas y lograr beneficios economicos y sociales, moldeando escenarios aplicables a la empresa, los sectores economicos, region o pais afines con la sociedad que se quiere."
21,Comercio y Relaciones Internacionales,"Gracias a la practica del Comercio Internacional, los paises y las empresas orientan ostensiblemente el volumen y la composicion de las importaciones y las exportaciones; incrementan la produccion de bienes y servicios; determinan la participacion profesional en el complejo mercado de capitales y divisas; asumen el compromiso de acceder al alcance de los mas altos niveles de crecimiento y desarrollo economico y social; se ven obligadas a la adquisicion las tecnologias avanzadas, impulsan nuevas inversiones, generan empleo; promueven la investigacion y los avances cientificos, fomentan la creatividad y la iniciativa de los empresarios."
21,Logistica y Distribucion Fisica Internacional,"La Logistica y Distribucion Fisica Internacional es de suma importancia en los Negocios Internacionales porque esta se convierte en un tema generador de economias de escala, de utilidades, de tiempo y lugar, es decir el llegar a tiempo con los clientes no es un valor agregado, es hoy una condicion establecida en las operaciones de comercio internacional. Para cualquier empresa exportadora, las relaciones con los clientes y conservar sus actividades comerciales son las que mantienen la rentabilidad de la empresa exportadora en el largo plazo."
21,"Marketing, industrializacion y TIC en los Negocios Internacionales","Las tecnologias de la informacion y de la comunicacion TIC en el marketing y la industria son indispensables porque permiten desarrollar procesos y dinamicas acordes a los retos como la sostenibilidad del producto, interconexion con las maquinas, ciclos de vida de los productos, implementacion de metodologias como lean manufacturing o rapid prototyping, realidad aumentada en los procesos logisticos, entre muchas otras, cuyo objetivo es fabricar y vender bienes adaptados a los deseos del cliente con precios y tiempos competitivos; esta nueva forma de fabricar requiere de transformaciones digitales y economia de conocimiento para lograr mas eficiencia y participacion en los mercados globales."
21,Economia y Finanzas Internacionales,"La eleccion de incluir un area tematica de economia y finanzas, permite unificar en un solo eje debido a su relacion o segmento de interes en las organizaciones que tienen las variables que cuantifican objetivamente el desempeno y el rendimiento."
21,Sostenibilidad en los Negocios Internacionales,"En cuanto a la sostenibilidad, es parte de la propuesta innovadora o incluyente de los temas que se pueden abordar desde el punto de vista investigativo, si bien la CEPAL advierte que macroeconomicamente el comercio internacional aporta a la mejora en la calidad de vida, la productividad y el crecimiento economico de los paises, a su vez, las practicas y procesos productivos emiten una serie de efectos que no son del todo positivos, las cadenas de valor deben orientarse a la inclusion y la responsabilidad organizacional."
21,Competitividad Empresarial,"Para la proyeccion de la empresa en terminos de internacionalizacion, se debe responder primero en terminos de calidad, elementos diferenciadores, innovacion empresarial, procesos tecnologicos ajustados a las necesidades de un mercado, una responsabilidad empresarial, un sistema de costos que atienda de forma eficiente las fuerzas de productos competidores, cada vez mas sofisticados, mas economicos, con mayores usos en el desarrollo de su funcionalidad."
