name,description
Pendiente de aprobacion,El proyecto ha sido registrado y esta en espera de ser revisado por el comite o evaluador correspondiente.
Aprobado,El proyecto ha sido revisado y aceptado para continuar con su desarrollo como proyecto de investigacion.
Rechazado,El proyecto ha sido evaluado y no cumple con los requisitos minimos para ser aceptado.
Devuelto para correccion,"El proyecto fue revisado, pero requiere ajustes o correcciones antes de poder ser aprobado."
Descartado,"El proyecto fue retirado del proceso por decision del estudiante, el evaluador, por vencimiento de plazos, por antiguedad o por cualquier otro motivo."
Asignado,El proyecto ya esta asignado a un estudiante o un grupo de estudiantes para su ejecucion.
